route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
52,10_7,1582785607-10,GRAMMONT,52,0,,
52,10_7,1582785608-10,ODYSSEUM,52,1,,
52,10_7,1582785609-10,GRAMMONT,52,0,,
52,10_7,1582785637-10,ODYSSEUM,52,1,,
52,10_8,1582775123-10,ODYSSEUM,52,1,,
52,10_8,1582775145-10,GRAMMONT,52,0,,
52,10_8,1582775127-10,ODYSSEUM,52,1,,
52,10_8,1582775146-10,GRAMMONT,52,0,,
52,10_8,1582775128-10,ODYSSEUM,52,1,,
52,10_8,1582775147-10,GRAMMONT,52,0,,
52,10_8,1582775129-10,ODYSSEUM,52,1,,
52,10_8,1582775148-10,GRAMMONT,52,0,,
52,10_8,1582775130-10,ODYSSEUM,52,1,,
52,10_8,1582775149-10,GRAMMONT,52,0,,
52,10_8,1582775131-10,ODYSSEUM,52,1,,
52,10_8,1582775150-10,GRAMMONT,52,0,,
52,10_8,1582775132-10,ODYSSEUM,52,1,,
52,10_8,1582775151-10,GRAMMONT,52,0,,
52,10_8,1582775133-10,ODYSSEUM,52,1,,
52,10_8,1582775152-10,GRAMMONT,52,0,,
52,10_8,1582775134-10,ODYSSEUM,52,1,,
52,10_8,1582775153-10,GRAMMONT,52,0,,
52,10_8,1582775135-10,ODYSSEUM,52,1,,
52,10_8,1582775154-10,GRAMMONT,52,0,,
52,10_8,1582775136-10,ODYSSEUM,52,1,,
52,10_8,1582775155-10,GRAMMONT,52,0,,
52,10_8,1582775137-10,ODYSSEUM,52,1,,
52,10_8,1582775156-10,GRAMMONT,52,0,,
52,10_8,1582775138-10,ODYSSEUM,52,1,,
52,10_8,1582775157-10,GRAMMONT,52,0,,
52,10_8,1582775139-10,ODYSSEUM,52,1,,
52,10_8,1582775158-10,GRAMMONT,52,0,,
52,10_8,1582775140-10,ODYSSEUM,52,1,,
52,10_8,1582775159-10,GRAMMONT,52,0,,
52,10_8,1582775141-10,ODYSSEUM,52,1,,
52,10_8,1582775160-10,GRAMMONT,52,0,,
52,10_8,1582775142-10,ODYSSEUM,52,1,,
52,10_8,1582775126-10,GRAMMONT,52,0,,
52,10_8,1582775143-10,ODYSSEUM,52,1,,
52,10_8,1582775125-10,GRAMMONT,52,0,,
52,10_8,1582775144-10,ODYSSEUM,52,1,,
52,10_8,1582775161-10,GRAMMONT,52,0,,
52,10_8,1582775162-10,ODYSSEUM,52,1,,
