stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
2459,45102,Montferrier-sur-Lez,"Montferrier-sur-Lez",43.651405,3.867304,,,1
2460,45103,Agropolis,"Agropolis",43.645954,3.868556,,,1
2461,45104,Plan des 4 Seigneurs,"Plan des 4 Seigneurs",43.644211,3.861094,,,1
2462,45105,CNRS - Zoo de Lunaret,"CNRS - Zoo de Lunaret",43.638199,3.865848,,,1
2463,45106,Pôle Chimie Balard,"Pôle Chimie Balard",43.633991,3.867913,,,1
2464,45107,Université Paul Valéry,"Université Paul Valéry",43.629967,3.8696,,,1
2465,45108,Saint-Eloi - Docteur Pezet,"Saint-Eloi - Docteur Pezet",43.627102,3.866689,,,1
2467,45109,Parc Clémenceau,"Parc Clémenceau",43.603516,3.872329,,,1
2468,45110,Place du 8 mai 1945,"Place du 8 mai 1945",43.601284,3.868027,,,1
2469,45111,Cité Créative - Parc Montcalm,"Cité Créative - Parc Montcalm",43.601677,3.862013,,,1
2470,45112,Chamberte - Les Roses,"Chamberte - Les Roses",43.602634,3.854567,,,1
2471,45113,Estanove,"Estanove",43.600712,3.84932,,,1
2472,45114,Yves du Manoir,"Yves du Manoir",43.595051,3.849863,,,1
2473,45115,Ovalie,"Ovalie",43.591412,3.847652,,,1
2474,45116,Parc Bagatelle,"Parc Bagatelle",43.593655,3.842257,,,1
2475,45117,Parc Font-Colombe,"Parc Font-Colombe",43.595444,3.837146,,,1
2476,45118,Parc des Bouisses,"Parc des Bouisses",43.59304,3.829489,,,1
2477,45119,Grès de Montpellier,"Grès de Montpellier",43.59296,3.823513,,,1
2478,45201,Grès de Montpellier,"Grès de Montpellier",43.592926,3.823524,,,1
2479,45202,Parc des Bouisses,"Parc des Bouisses",43.593014,3.8295,,,1
2480,45203,Parc Font-Colombe,"Parc Font-Colombe",43.595406,3.83712,,,1
2481,45204,Parc Bagatelle,"Parc Bagatelle",43.59362,3.842243,,,1
2482,45205,Ovalie,"Ovalie",43.591385,3.847663,,,1
2483,45206,Yves du Manoir,"Yves du Manoir",43.595066,3.849913,,,1
2484,45207,Estanove,"Estanove",43.600685,3.849332,,,1
